partido,fase,fecha,hora_peru,grupo,equipo_1,equipo_2,sede
81,Dieciseisavos,2026-07-01,3:00 p.m.,,1º Grupo D,3º Grupo B/E/F/I/J,San Francisco Bay Area Stadium
82,Dieciseisavos,2026-07-01,7:00 p.m.,,1º Grupo G,3º Grupo A/E/H/I/J,Seattle Stadium
83,Dieciseisavos,2026-07-02,2:00 p.m.,,2º Grupo K,2º Grupo L,Toronto Stadium
84,Dieciseisavos,2026-07-02,6:00 p.m.,,1º Grupo H,2º Grupo J,Los Angeles Stadium
85,Dieciseisavos,2026-07-02,8:30 p.m.,,1º Grupo B,3º Grupo E/F/G/I/J,BC Place Vancouver
86,Dieciseisavos,2026-07-02,10:00 p.m.,,1º Grupo J,2º Grupo H,Miami Stadium
87,Dieciseisavos,2026-07-03,1:00 p.m.,,1º Grupo K,3º Grupo D/E/I/J/L,Kansas City Stadium
88,Dieciseisavos,2026-07-03,5:00 p.m.,,2º Grupo D,2º Grupo G,Dallas Stadium
89,Octavos,2026-07-04,12:00 p.m.,,Ganador partido 74,Ganador partido 77,Philadelphia Stadium
90,Octavos,2026-07-04,4:00 p.m.,,Ganador partido 73,Ganador partido 75,Houston Stadium
91,Octavos,2026-07-05,3:00 p.m.,,Ganador partido 76,Ganador partido 78,New York New Jersey Stadium
92,Octavos,2026-07-05,7:00 p.m.,,Ganador partido 79,Ganador partido 80,Estadio Azteca Ciudad de México
93,Octavos,2026-07-06,2:00 p.m.,,Ganador partido 83,Ganador partido 84,Dallas Stadium
94,Octavos,2026-07-06,7:00 p.m.,,Ganador partido 81,Ganador partido 82,Seattle Stadium
95,Octavos,2026-07-07,11:00 a.m.,,Ganador partido 86,Ganador partido 88,Atlanta Stadium
96,Octavos,2026-07-07,3:00 p.m.,,Ganador partido 85,Ganador partido 87,BC Place Vancouver
97,Cuartos,2026-07-09,3:00 p.m.,,Ganador partido 89,Ganador partido 90,Boston Stadium
98,Cuartos,2026-07-10,2:00 p.m.,,Ganador partido 93,Ganador partido 94,Los Angeles Stadium
99,Cuartos,2026-07-11,4:00 p.m.,,Ganador partido 91,Ganador partido 92,Miami Stadium
100,Cuartos,2026-07-11,8:00 p.m.,,Ganador partido 95,Ganador partido 96,Kansas City Stadium
101,Semifinales,2026-07-14,2:00 p.m.,,Ganador partido 97,Ganador partido 98,Dallas Stadium
102,Semifinales,2026-07-15,2:00 p.m.,,Ganador partido 99,Ganador partido 100,Atlanta Stadium
103,Tercer puesto,2026-07-18,4:00 p.m.,,Perdedor partido 101,Perdedor partido 102,Miami Stadium
104,Final,2026-07-19,2:00 p.m.,,Ganador partido 101,Ganador partido 102,Nueva York Nueva Jersey Stadium
